Idiom,Meaning,Example,Part_of_Speech
have a crush on,"have feelings  of love, romantic desire, or sexual attraction (usually among teenagers)", ,v.
have a row,"have an  argument, dispite, or angry discussion", ,v.
have a shit-fit,"have an angry  fit, a temper tantrum", ,v.
have been had,"have been  cheated, deceived, or fooled", ,v.
have it together,be organized  physically and mentally; be in a good position or situation, ,v.
have shit for brains,be extremely  dumb, ,v.
have the hots,be romantically  or sexually attracted to or aroused by somebody, ,v.
have to fly,have to depart  immediately, ,v.
head,person, ,n.
head,toilet;  bathroom; restroom, ,n.
head spoon,mess sergeant, ,n.
heap,"old, unreliable  vehicle (usually a car) in poor condition", ,n.
heavy,serious;  important; significant, ,adj.
heavy,bad guy;  antagonist; villain, ,n.
hellhole,a dangerous  (often hot) place, ,n.
hep,informed; up  to date; current, ,adj.
herd cats,do the  impossible, ,v.
here's the deal,"here is the  idea, plan, or situation", ,v.
hero,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", ,n.
hick,"person from a  small, rural town and possessing little education or manners", ,n.
hickey,love bit; mark  on skin from biting or sucking, ,n.
hicksville,"small, rural  town where people with little education or manners live", ,n.
hicky,love bit; mark  on skin from biting or sucking, ,n.
high,"very pleased,  amused, happy, or euphoric", ,adj.
high,intoxicated  from alcohol or drugs, ,adj.
high five,two people  striking the palms of their raised hands together as a form of agreement or  greeting, ,n.
hillbilly,Often used as an insult and racial slur against White folks who live in the country., ,n.
hillbilly armor,improved armor  for vehicles made from scavenged metal, ,n.
hip,informed; up  to date; current, ,adj.
history,something or  somebody that is no longer relevant, ,n.
hit,success;  something approved of or highly regarded, ,n.
hit the books,study or review  school material diligently, ,v.
hit the bricks,begin walking, ,v.
hit the fan,become a  scandal; become known to the public, ,v.
hit the pavement,begin walking, ,v.
hit the sack,go to bed; get  in bed, ,v.
ho,prostitute;  whore, ,n.
hoagie,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", ,n.
hoe,prostitute;  whore, ,n.
hog,use all of; use  a great deal of; take up most or all of something.,Don't hog all the pizza.  I want some too.,v.
hog,motorcyle, ,n.
hoi polloi,common people;  everyday people, ,n.
hole up,hide; conceal  oneself, ,v.
holy shit,"a strong  expression of surprise, fear, or disbelief.",Holy shit! I don't believe it.,exclam.
home run,"act of sexual  intercourse (used as a way to mark ""progress in sex, especially among  youth)", ,n.
homeboy,good male  friend, ,n.
homegirl,good female  friend, ,n.
homes,neighbor;  companion, ,n.
homey,good friend.,My homies all think I look good in black.,n.
homo,homosexual  (typically male), ,n.
honcho,boss; leader, ,n.
honker,nose, ,n.
honker,"nose, esp. a  large nose", ,n.
honker,the nose (often  a large nose).,Check out that guy's honker. It's enormous.,n.
honkers,woman's breasts  (usually large or otherwise remarkable), ,n.
honkey,"of or  pertaining to white (Caucasian) behavior, ideas, etc.", ,adj.
honkey,white  (Caucasian), ,n.
honkie,"of or  pertaining to white (Caucasian) behavior, ideas, etc.", ,adj.
honkie,white  (Caucasian), ,n.
hooch,"simple housing,  from hut to barracks", ,n.
hood,hoodlum; thief;  criminal, ,n.
hood,neighborhood;  immediate area where one lives, ,n.
hood,neighborhood;  inner-city neighborhood or area controlled by a gang, ,n.
hooked,addicted, ,adj.
hooker,prostitute;  whore, ,n.
hoops,basketball, ,n.
hoops,"basketball (the  game, not the ball itself)", ,n.
hoot,fun; amusing;  entertaining.,"That party was a hoot, totally fun.",adj.
hoot,something  humourous; joke, ,n.
hoot,boo; make  catcalls, ,v.
hoot,laughly loudly  and deeply, ,v.
hooters,a woman's  breasts (jocular and offensive; used almost exclusively by men); name of a  restaurant where the waitresses tend to have large breast and wear tight  T-shirts.,Get a load of her hooters.,n.
hopped up,under the influence  of drugs, ,adj.
horny,sexually  aroused; wanting sexual activity, ,adj.
horse hockey,horse dung;  horse feces; nonsense, ,n.
horse's ass,"obnoxious, dumb  person", ,n.
horseshit,nonsense;  rubbish; foolish talk or ideas.,Don't give me any horseshit.,n.
hose,"cheat, lie, or  deceive somebody", ,v.
hose,penis, ,n.
hoser,idiot; moron;  dumb person, ,n.
hot,angry; upset, ,adj.
hot,famous;  well-known, ,adj.
hot,regularly  winning at gambling, ,adj.
hot,stolen;  wanted by the authorities, ,adj.
hot,sexy (for  women in particular), ,adj.
hot car,stolen vehicle, ,n.
hot item,item that  sells rapidly or successfully, ,adj.
hot item,romantically  involved couple, ,n.
hot number,sexually  appealing person (usually a woman), ,n.
hot number,"sexy, appealing  person (usually a woman)", ,n.
hot pants,pants that make  a woman look sexually appealing (usually tight), ,n.
hot shit,pesron (usually  male) who believes he is great, ,n.
hot tot,"preadolescent  girl who dresses and behaves in a shallow, sexual manner", ,n.
hot under the collar,angry; upset, ,adj.
hotdog,show up;  perform difficult and spectacular moves (in skiing), ,v.
hottie,"sexy, appealing  person (usually a woman)", ,n.
howl,something  amusing or entertaining, ,n.
howler,"amusing, large  error", ,n.
hump,have sexual  relations, ,v.
hump day,Wednesday (so  called because it is the middle of the week), ,n.
hungry,ambitious;  eager for success and willing to work hard for it, ,adj.
hunk,"physically  attractive, handsome male", ,n.
hunk of ass,potential  partner for sex (usually a woman), ,n.
hunk of tail,potential  partner for sex (usually a woman), ,n.
hurl,throw up; vomit, ,v.
hurting,in great pain, ,adj.
hush puppy,cornmeal  dumpling that is deep fried, ,n.
hustle,plan for making  money (usually through deception), ,n.
hustle,act quickly;  rush; hurry, ,v.
hustle,make efforts  (usually with one's own abilities) to earn money, ,v.
hustler,pool hall  gambler, ,n.
hustler,swindler;  someone who deceives people out of money, ,n.
hyped,exaggerated;  promoted inaccurately, ,adj.
hyped,stimulated;  excited; eager, ,adj.
hyper,excited;  eager, ,adj.
hyper,person who is  easily or frequently very excited or active, ,n.
ice,methamphetamine, ,n.
ice,methylenedioxymethamphetamine  (MDMA, ,n.
ice,smokable  methamphetamine, ,n.
ick,nasty;  ugly; unappealing, ,exclam.
icky,unappealing;  disgusting, ,adj.
ICU,intensive care  unit.,That car crash put him in the ICU for two weeks.,abbr.
idiot light,red or flashing  lights on dashboard panel of a car that warn the driver of a problem, ,n.
IIRC,if I  recall/remember correctly, ,abbr.
I'll be damned,no way; really; what a surprise.,I'll be damned.  That really is true.,idiom.
I'll be damned (if),there is no way that; I will not under any  circumstancesâ€¦.,I'll be damned if I'm going to do that.,idiom.
IMHO,in my humble  opinion, ,abbr.
IMO,in my  opinion, ,abbr.
in,"fashionable,  trendy", ,adj.
in a bad way,in a poor  position; in a bad mood, ,adj.
in a New York minute,right away; immediately; in a heartbeat.,Would you  sleep with him? In a New York minute.,idiom.
in a snit,irritated;  upset; angry, ,adj.
in bad shape,injured; in  poor (physical) conditio, ,adj.
in deep,very much  involved in something, ,adj.
in play,active; being  played (said in sports), ,adj.
in the bag,done;  obtained; completed, ,adj.
in-country,nation outside  the U.S. where a soldier is stationed, ,n.
intense,"important,  serious, significant", ,adj.
IOW,in other  words, ,abbr.
IRC,Internet  relay chat, ,abbr.
iron,gun, ,n.
ISTM,it seems to  me, ,abbr.
ivories,piano keys, ,n.
jack,Jack Daniel's  whiskey.,"Give me a glass of jack, straight.",n.
jack,steal a car  with a driver or passenger in it.,My car got jacked but at least I'm all  right.,v.
jack around,mess around; do  little or nothing; waste time, ,v.
jack off,waste time or  energy; do little or nothing, ,v.
jack off,masturbate (men  only), ,v.
jack off,masturbate  (said of men), ,v.
jack up,motivate or  stimulate somebody or something, ,v.
jack up,raise the price  of something, ,v.
jacked,damaged;  injured; harmed; messed up, ,adj.
jacked up,"aroused,  excited", ,adj.
jacked up,upset;  distressed, ,adj.
jacknife,"fold in; fold  in half (said of a tractor-trailer that forms a ""V"" shape after a  collision)", ,v.
jackshit,nothing;  nothing at all, ,n.
Jag,Jaguar car, ,n.
jam,problem;  difficulty, ,n.
jam,play musical  instruments together in an improvisational style, ,v.
jammed up,in  difficulty; in trouble, ,adj.
jammed up,stuffed with  food; constipated, ,adj.
jamming,very good;  excellent; outstanding, ,adj.
jaw,chat; talk  nonsense, ,v.
jay,marijuana  cigarette, ,n.
jazz up,make somebody  or something more interesting or sexually appealing, ,v.
jazzed,excited; in a  good frame of mind, ,adj.
jazzed up,excited; in a  good frame of mind, ,adj.
jazzy,appealing;  enticing, ,adj.
jerk,"dumb,  unappealing person", ,n.
jerk around,harass or waste  somebody's time, ,v.
jerk off,waste time or  energy; do little or nothing, ,v.
jerk off,masturbate (men  only), ,v.
jerk off,masturbate  (said of men), ,v.
jerry-rigged,temporary and  inefficient (solution to a problem), ,adj.
jive,inaccurate;  deceptive; flashy but meaningless, ,adj.
jive,"lie; lies,  nonsense", ,n.
jive,retort; back  talk, ,n.
jive,drugs, ,n.
jive talk,slang;  currently popular words and phrases, ,n.
jive turkey,dumb person, ,n.
jive-ass,nonsensical, ,adj.
jock,athlete;  athletic supporter (clothing), ,n.
Joe Six-Pack,ordinary man  (typically one who sits in front of the television and drinks beer), ,n.
joggers,jogging shoes;  running shoes; sneakers, ,n.
john,customer of a  prostitute, ,n.
john,toilet;  bathroom; restroom, ,n.
John Wayne,try to be a  hero; be heroic; ham it up for the media, ,v.
joint,prison; jail, ,n.
joint,marijuana  cigarette, ,n.
joint,bar; tavern;  grill, ,n.
joint,low-quality  place for food or drink, ,n.
jonesing,need for drugs;  need for anything in particular.,He was jonesing for some smack.,n.
juice,electricity;  power, ,n.
juice,interest paid  to organized crime on a loan, ,n.
jump,physically  attack or assault somebody, ,v.
jump,have sex with  somebody, ,v.
jump start,starting one  car by using power (via jumper cables) from another car, ,n.
jump street,start;  beginning; outset (of something), ,n.
junk,drugs (heroin  in particular), ,n.
junk it,discard it; get  rid of it, ,v.
junkie,addict, ,n.
junkie,drug user; drug  addict, ,n.
just off the boat,newly arrived  (usually from another country), ,adj.
K,thousand (of  anything).,I make three K per week doing this.,n.
kawabunga,"yeah;  horray; yippee (an expression of excitement or enthusiasm, popularized in the  TV series ""The Simpsons"")", ,exclam.
keep one's cool,"remain relaxed,  calm, under control", ,v.
keester,buttocks, ,n.
keg party,party or event  at which beer is served from a keg (barrel-sized container of beer), ,n.
kegger,party or event  at which beer is served from a keg (barrel-sized container of beer), ,n.
kevork,ban a person  from a Web site or other place online, ,v.
kewl,"good; great;  excellent (alternate spelling for ""cool"")", ,adj.
keyster,buttocks, ,n.
kick,good feeling or  pleasure derived from something, ,n.
kick around,have nearby; be  in one's position, ,n.
kick back,bribe; money  paid to effect an outcome, ,n.
kick back,unwind; relax;  have fun, ,v.
kick in the arse,something that  motivates or gets somebody to do something, ,n.
kick in the ass,something that  motivates or gets somebody to do something, ,n.
kick in the butt,something that  motivates or gets somebody to do something, ,n.
kick in the pants,something that  motivates or gets somebody to do something, ,n.
kick in the rear,something that  motivates or gets somebody to do something, ,n.
kick the bucket,"die, pass away", ,v.
kick the shit out of  (someone),physically  attack and abuse someone, ,v.
kick-ass,appealing;  fun; exciting, ,adj.
kick-ass,strong;  vigorous, ,adj.
kickback,bribe; money  paid to effect an outcome, ,n.
kicky,appealing;  fun; exciting, ,adj.
kiester,buttocks, ,n.
kike,Jew; Jewish  person, ,n.
killer,very amusing  or entertaining, ,adj.
killer,very unusual  or extraordinary, ,adj.
kingpin,leader of a  criminal gang, ,n.
kinky,weird;  strange; unappealing, ,adj.
kinky,"unusual,  possibly deviant (sexual activity)", ,adj.
kiss ass,flatter or  toady up to someone for personal gain, ,v.
kiss my ass,go away;  drop dead (used to reject something or as a retort), ,exclam.
kiss my ass,"go away; no way  (expression of frustration, disbelief, or dismissal)", ,v.
kiss up to,flatter; be  obsequious to somebody, ,v.
kiss-ass,obsequious or  servile, ,adj.
kiss-ass,"obsequious,  servile person", ,n.
kissyface,kissing, ,n.
klick,kilometer.,The enemy is about three klicks from here.,n.
klotz,"clumsy, often  dumb, person", ,n.
kludge,sloppy or  inefficient solution to a problem in computer hardware or software, ,n.
kludgy,"inefficient,  low-quality software", ,adj.
kluge,sloppy or  inefficient solution to a problem in computer hardware or software, ,n.
